,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
449,3,1,20,2,1,1,1,9,9,2,2,2,1,2,1,3,4,1,1,2,4,2,2,2,2,2
459,4,1,20,2,1,1,1,8,8,2,2,2,2,2,1,3,4,1,1,2,4,2,2,2,2,2
463,4,1,1,1,1,1,2,7,7,2,2,2,1,2,2,3,5,1,1,2,3,2,2,1,1,2
468,3,1,1,1,1,1,2,8,8,2,2,1,1,2,2,3,3,1,1,2,2,2,2,2,2,2
472,2,1,15,2,1,1,1,8,7,1,1,2,1,2,1,3,4,1,1,2,2,2,2,2,2,2
473,4,2,1,2,1,1,2,7,7,2,2,2,1,2,2,3,5,1,1,2,2,2,1,1,1,2
474,3,1,1,2,1,2,1,8,7,2,2,2,1,2,2,4,5,1,4,2,2,2,2,2,2,2
476,2,1,1,2,1,2,1,8,9,2,1,2,1,2,2,3,5,1,1,2,4,2,2,2,2,2
480,3,1,1,1,1,1,2,8,8,2,2,2,1,2,2,3,5,1,1,1,3,2,2,2,2,2
481,4,1,31,2,1,1,2,8,8,1,2,2,1,2,2,4,3,1,1,2,1,2,2,2,2,2
482,4,2,1,2,2,1,2,6,4,2,2,2,2,2,2,3,5,1,1,2,2,2,2,2,2,2
487,5,1,4,1,1,1,2,6,6,1,1,2,1,2,2,2,3,1,1,2,1,2,1,1,2,1
488,3,1,20,2,2,2,1,10,10,2,2,2,2,2,1,3,2,2,3,2,3,2,2,2,2,2
490,2,1,1,2,1,1,1,7,8,2,2,2,2,2,2,3,5,1,1,2,2,2,1,1,2,2
492,4,2,19,2,2,1,2,7,5,2,2,2,1,2,2,3,5,1,1,2,4,1,1,1,2,2
493,4,1,26,1,1,1,1,7,9,2,2,2,1,2,2,4,5,1,1,1,2,2,2,2,2,2
515,3,1,1,1,1,1,2,8,8,2,1,2,1,2,2,3,5,1,1,2,1,2,1,2,1,2
519,8,2,4,2,2,1,1,7,7,2,1,1,1,2,1,4,2,1,1,2,2,2,2,1,1,2
527,2,1,7,2,1,1,1,8,8,1,2,1,1,2,2,4,3,2,1,1,1,2,2,2,2,2
531,7,1,19,2,2,2,1,7,8,2,1,1,1,2,1,5,3,1,1,1,3,1,2,1,1,2
532,4,1,21,1,1,2,2,8,8,1,1,1,1,2,2,3,5,1,1,2,3,1,2,1,1,2
533,4,1,1,2,2,2,2,9,7,1,1,2,1,2,2,2,3,1,1,2,2,2,2,2,2,2
535,6,1,7,1,1,1,1,7,7,1,1,1,1,2,2,3,5,1,1,2,2,2,2,2,2,2
536,4,1,26,2,2,1,2,7,7,2,2,2,1,2,2,5,5,1,1,2,3,2,2,2,2,2
537,3,1,11,2,1,1,2,7,6,2,2,2,1,2,2,4,3,1,1,2,2,1,2,2,2,1
538,6,1,14,1,1,2,1,7,7,1,2,1,1,2,2,5,5,1,1,2,2,2,2,2,2,2
539,6,2,17,2,2,1,1,7,7,1,1,1,1,2,2,5,5,1,1,1,3,1,2,1,1,1
